,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
140,2011-06-29 09:32:27,1309354347.0,msft,24.63,25.8,-1.56428843953,1307.410034,11.3665652697,-12.9308537092,underperform
141,2005-10-31 09:39:29,1130769569.0,msft,0.0,25.53,-2.59442960702,1207.01001,2.81438536046,-5.40881496748,underperform
142,2008-12-17 08:47:29,1229521649.0,msft,0.059,20.11,-23.27355971,904.419983,-22.9605521997,-0.313007510356,underperform
143,2012-02-08 09:00:34,1328709634.0,msft,19.97,30.35,15.7954979016,1349.959961,14.9910129175,0.80448498408,outperform
144,2005-07-30 08:57:54,1122728274.0,msft,0.0,25.61,-2.28920259443,1236.790039,5.35107963166,-7.64028222609,underperform
145,2011-01-29 01:59:27,1296284367.0,msft,22.72,27.75,5.87561999237,1296.630005,10.4483110327,-4.57269104028,underperform
146,2011-09-25 20:34:22,1316997262.0,msft,23.02,25.06,-4.38763830599,1129.560059,-3.78288313134,-0.604755174646,underperform
147,2013-05-21 15:59:00,1369166340.0,msft,19.25,34.89,33.1171308661,1669.160034,42.18081171,-9.06368084397,underperform
148,2004-06-05 20:29:13,1086481753.0,msft,0.0,25.95,-0.99198779092,1124.98999,-4.17216642759,3.18017863667,outperform
149,2004-04-04 00:44:30,1081057470.0,msft,0.0,25.85,-1.37352155666,1132.170044,-3.56056185699,2.18704030034,outperform
150,2013-01-23 12:03:22,1358960602.0,msft,17.98,27.15,3.58641739794,1494.810059,27.3294969995,-23.7430796016,underperform
151,2005-03-05 14:51:09,1110052269.0,msft,0.0,25.17,-3.96795116368,1210.079956,3.07588659778,-7.04383776146,underperform
152,2012-05-21 08:24:49,1337603089.0,msft,19.15,29.27,11.6749332316,1315.98999,12.0974149687,-0.422481737126,underperform
153,2005-05-28 10:20:45,1117290045.0,msft,0.0,26.07,-0.534147272034,1190.01001,1.36630743513,-1.90045470717,underperform
154,2011-05-22 03:59:46,1306051186.0,msft,24.63,24.49,-6.5623807707,1343.599976,14.449262689,-21.0116434597,underperform
155,2012-01-18 15:27:19,1326918439.0,msft,22.05,28.19,7.55436856162,1308.040039,11.4202297599,-3.86586119825,underperform
156,2012-10-25 04:16:21,1351152981.0,msft,17.98,27.9,6.44792064098,1412.969971,20.358272009,-13.910351368,underperform
157,2004-02-13 06:46:12,1076672772.0,msft,0.0,26.95,2.82334986646,1145.810059,-2.39869099684,5.2220408633,outperform
158,2011-06-22 12:51:16,1308761476.0,msft,24.63,24.76,-5.5322396032,1287.140015,9.63994367791,-15.1721832811,underperform
159,2012-03-13 09:40:48,1331646048.0,msft,19.97,32.04,22.2434185425,1395.949951,18.908488759,3.33492978359,outperform
160,2012-05-20 21:44:53,1337564693.0,msft,19.15,29.27,11.6749332316,1304.859985,11.149349407,0.525583824595,outperform
161,2012-11-13 09:25:40,1352816740.0,msft,17.98,28.22,7.66882869134,1374.530029,17.0839172172,-9.41508852582,underperform
162,2005-02-06 07:19:37,1107692377.0,msft,0.0,26.32,0.419687142312,1189.890015,1.35608613451,-0.936398992194,underperform
163,2011-11-08 03:03:34,1320739414.0,msft,22.05,26.8,2.25104921786,1275.920044,8.68421471745,-6.43316549959,underperform
164,2008-12-04 00:16:54,1228367814.0,msft,0.059,19.87,-24.1892407478,845.219971,-28.0032716442,3.81403089635,outperform
165,2009-01-01 19:07:55,1230854875.0,msft,0.059,19.44,-25.8298359405,869.419983,-25.9418891048,0.112053164279,outperform
166,2008-10-28 10:13:45,1225203225.0,msft,0.0,21.18,-19.1911484166,940.51001,-19.8863656454,0.695217228743,outperform
167,2005-02-10 06:24:13,1108034653.0,msft,0.0,26.07,-0.534147272034,1197.01001,1.96257481615,-2.49672208818,underperform
168,2005-04-03 17:26:54,1112563614.0,msft,0.0,24.12,-7.97405570393,1180.589966,0.563898154427,-8.53795385836,underperform
169,2005-08-31 04:11:54,1125475914.0,msft,0.0,27.18,3.70087752766,1220.329956,3.9489924057,-0.24811487804,underperform
170,2011-10-11 23:47:48,1318391268.0,msft,23.02,27.0,3.01411674933,1195.540039,1.83736113639,1.17675561295,outperform
171,2012-03-16 01:20:48,1331875248.0,msft,19.97,32.85,25.333842045,1404.170044,19.6086849482,5.72515709681,outperform
172,2003-10-02 16:41:39,1065127299.0,msft,0.0,28.28,7.89774895078,1020.23999,-13.0948818792,20.99263083,outperform
173,2012-05-20 12:04:07,1337529847.0,msft,19.15,29.27,11.6749332316,1304.859985,11.149349407,0.525583824595,outperform
174,2011-06-04 11:30:21,1307201421.0,msft,24.63,23.87,-8.92789011828,1314.550049,11.974759276,-20.9026493943,underperform
175,2012-01-19 02:49:56,1326959396.0,msft,22.05,28.23,7.70698206791,1314.5,11.9704960494,-4.26351398151,underperform
176,2004-07-23 09:31:40,1090589500.0,msft,0.0,29.0,10.6447920641,1086.199951,-7.47634285102,18.1211349151,outperform
177,2004-07-22 03:41:41,1090482101.0,msft,0.0,28.86,10.1106447921,1096.839966,-6.57001515416,16.6806599462,outperform
178,2013-05-16 07:22:53,1368703373.0,msft,19.25,33.85,29.1491797024,1650.469971,40.5887724363,-11.4395927339,underperform
179,2008-10-27 11:09:44,1225120184.0,msft,0.0,21.96,-16.2151850439,848.919983,-27.6881007206,11.4729156767,outperform
180,2013-03-17 18:27:50,1363559270.0,msft,19.59,28.04,6.98206791301,1563.22998,33.1575780144,-26.1755101014,underperform
181,2005-01-04 11:35:35,1104856535.0,msft,0.0,26.74,2.02212895841,1188.050049,1.19935589051,0.822773067903,outperform
182,2011-10-22 19:48:33,1319327313.0,msft,23.02,27.16,3.62457077451,1209.880005,3.05885456077,0.565716213744,outperform
183,2011-10-02 21:25:51,1317605151.0,msft,23.02,24.89,-5.03624570775,1160.400024,-1.15590239403,-3.88034331371,underperform
184,2008-12-17 02:56:23,1229500583.0,msft,0.059,20.11,-23.27355971,904.419983,-22.9605521997,-0.313007510356,underperform
185,2004-09-07 05:20:10,1094548810.0,hcn,0.872,34.27,0.0,1121.300049,0.0,0.0,underperform
186,2005-05-18 22:57:57,1116471477.0,hcn,0.905,34.51,0.700320980449,1185.560059,5.7308487641,-5.03052778365,underperform
187,2013-04-22 02:49:32,1366613372.0,hcn,80.83,72.62,111.905456668,1562.5,39.3471802122,72.5582764554,outperform
188,2005-03-24 06:44:52,1111664692.0,hcn,0.888,31.93,-6.82812955938,1171.420044,4.46981118432,-11.2979407437,underperform
189,2008-09-21 22:45:54,1222051554.0,hcn,1.161,52.3,52.6116136563,1206.51001,7.59921138646,45.0124022698,outperform
190,2011-11-28 21:40:15,1322534415.0,hcn,101.02,48.67,42.019258827,1192.550049,6.35423141768,35.6650274093,outperform
191,2013-05-12 00:43:02,1368333782.0,hcn,80.83,75.48,120.250948351,1626.670044,45.070005611,75.1809427404,outperform
192,2012-01-28 06:09:26,1327748966.0,qep,47.58,29.22,0.0,1326.060059,0.0,0.0,underperform
193,2011-12-29 14:53:23,1325188403.0,qep,47.58,29.04,-0.616016427105,1263.02002,-4.75393543242,4.13791900532,outperform
194,2013-07-05 14:15:42,1373048142.0,qep,102.6,28.86,-1.23203285421,1631.890015,23.0630546425,-24.2950874967,underperform
195,2012-01-28 15:17:37,1327781857.0,qep,47.58,29.22,0.0,1326.060059,0.0,0.0,underperform
196,2011-06-24 08:47:32,1308919652.0,qep,51.69,39.93,36.6529774127,1268.449951,-4.34445692026,40.997434333,outperform
197,2011-12-22 01:41:32,1324536092.0,qep,47.58,29.24,0.0684462696783,1254.0,-5.43414745893,5.50259372861,outperform
198,2011-02-21 04:28:37,1298280517.0,qep,44.14,39.09,33.7782340862,1343.01001,1.27821895283,32.5000151334,outperform
199,2007-03-24 17:55:26,1174773326.0,cnp,5.904,18.2,0.0,1435.040039,0.0,0.0,underperform
200,2008-02-01 08:49:37,1201873777.0,cnp,5.585,15.99,-12.1428571429,1395.420044,-2.76089822745,-9.3819589154,underperform
201,2005-02-05 01:03:46,1107583426.0,cnp,17.622,11.91,-34.5604395604,1193.189941,-16.8531951323,-17.7072444281,underperform
202,2011-09-25 19:57:36,1316995056.0,cnp,274.28,18.97,4.23076923077,1129.560059,-21.2872095341,25.5179787649,outperform
203,2005-03-06 14:36:48,1110137808.0,cnp,17.622,12.47,-31.4835164835,1210.469971,-15.649045455,-15.8344710286,underperform
204,2013-05-23 18:24:38,1369347878.0,cnp,210.71,23.86,31.0989010989,1650.51001,15.0149100474,16.0839910515,outperform
205,2003-12-14 20:04:17,1071450257.0,cnp,7.052,9.35,-48.6263736264,1071.209961,-25.3533050028,-23.2730686236,underperform
206,2013-05-16 14:59:53,1368730793.0,len,125.02,42.85,0.0,1650.469971,0.0,0.0,underperform
207,2005-04-04 23:21:53,1112671313.0,len,0.499,57.9,35.1225204201,1176.119995,-28.7402972689,63.862817689,outperform
208,2006-08-27 05:24:26,1156670666.0,len,0.718,44.76,4.45740956826,1296.060059,-21.4732723544,25.9306819226,outperform
209,2004-06-21 08:10:21,1087819821.0,len,0.467,44.24,3.243873979,1130.300049,-31.5164729525,34.7603469315,outperform
210,2005-03-06 01:48:59,1110091739.0,len,0.499,61.97,44.6207701284,1210.469971,-26.6590733386,71.2798434669,outperform
211,2005-09-01 00:58:09,1125550689.0,len,0.717,62.1,44.9241540257,1221.589966,-25.9853261517,70.9094801774,outperform
212,2008-01-29 19:10:53,1201651853.0,len,0.613,18.87,-55.9626604434,1362.300049,-17.4598706467,-38.5027897967,underperform
213,2011-10-23 03:42:48,1319355768.0,len,125.26,16.73,-60.9568261377,1215.390015,-26.3609737617,-34.595852376,underperform
214,2013-03-12 03:38:16,1363073896.0,len,125.9,41.81,-2.42707117853,1552.47998,-5.93709626481,3.51002508628,outperform
215,2004-08-10 23:32:25,1092195145.0,len,0.458,42.96,0.256709451575,1079.040039,-34.6222556024,34.8789650539,outperform
216,2004-01-20 04:15:53,1074590153.0,len,0.508,90.81,111.925320887,1138.77002,-31.0032875478,142.928608435,outperform
217,2004-10-10 13:54:17,1097430857.0,len,0.458,43.7,1.98366394399,1130.650024,-31.4952683862,33.4789323302,outperform
218,2008-12-12 12:33:38,1229103218.0,len,0.738,8.98,-79.0431738623,879.72998,-46.6982135115,-32.3449603509,underperform
219,2012-04-21 13:17:23,1335028643.0,len,130.23,25.77,-39.8599766628,1385.140015,-16.0760244453,-23.7839522175,underperform
220,2008-12-05 07:21:32,1228479692.0,len,0.738,8.5,-80.1633605601,876.070007,-46.9199668947,-33.2433936654,underperform
221,2011-10-05 01:47:45,1317793665.0,cnx,110.09,34.43,0.0,1144.030029,0.0,0.0,underperform
222,2005-12-29 18:40:14,1135899614.0,cnx,0.471,64.67,87.8303804821,1254.420044,9.64922355198,78.1811569302,outperform
223,2004-05-16 21:46:02,1084758362.0,cnx,1.482,28.06,-18.5013069997,1096.439941,-4.15986353449,-14.3414434652,underperform
